Isolate,Collection_time,Country,Nextstrain_clade,Source
hCoV-19/Senegal/142036/2020.971/20A,2020.971,Senegal,20A,GISAID
hCoV-19/Guinea/Conakry_IPG15593/2020.9/20A,2020.9,Guinea,20A,GISAID
hCoV-19/Congo/ROTC-Q001C129AL_2101TM-r1-043/2021.018/20A,2021.018,Congo,20A,GISAID
hCoV-19/Cameroon/CV416/2020.616/20A,2020.616,Cameroon,20A,GISAID
hCoV-19/Haiti/33984/2020.305/20A,2020.305,Haiti,20A,GISAID
hCoV-19/USA/RI_RKL_001_55410_AM623/2020.463/20A,2020.463,USA,20A,GISAID
hCoV-19/Djibouti/NAMRU3_A04/2020.876/20A,2020.876,Djibouti,20A,GISAID
hCoV-19/Djibouti/NAMRU3_A07/2020.876/20A,2020.876,Djibouti,20A,GISAID
hCoV-19/Australia/SA0089/2020.25/20A,2020.25,Australia,20A,GISAID
hCoV-19/USA/MA-MGH-02739/2020.745/20A,2020.745,USA,20A,GISAID
hCoV-19/CentralAfricanRepublic/LNBCSP016/2022.421/20A,2022.421,CentralAfricanRepublic,20A,GISAID
hCoV-19/Egypt/MASRI-C5-015/2020.449/20A,2020.449,Egypt,20A,GISAID
hCoV-19/Chile/Santiago-PUC_MVL_0351/2020.359/20A,2020.359,Chile,20A,GISAID
hCoV-19/Lebanon/LAU-R19/2020.332/20A,2020.332,Lebanon,20A,GISAID
hCoV-19/USA/MN-Mayo418/2020.572/20A,2020.572,USA,20A,GISAID
hCoV-19/India/UP-NBRI-N40-TCQ729/2020.239/20A,2020.239,India,20A,GISAID
hCoV-19/Morocco/6891/2020.217/20A,2020.217,Morocco,20A,GISAID
hCoV-19/USA/MA-MASPHL-00102/2020.255/20A,2020.255,USA,20A,GISAID
hCoV-19/Togo/BMC-1284-20/2020.261/20A,2020.261,Togo,20A,GISAID
hCoV-19/Norway/02729/2020.291/20A,2020.291,Norway,20A,GISAID
hCoV-19/Kashgar/IVDC-01-01/2020.829/20A,2020.829,Kashgar,20A,GISAID
hCoV-19/Afghanistan/IMB07970/2020.449/20A,2020.449,Afghanistan,20A,GISAID
hCoV-19/Venezuela/Apu680/2021.125/20A,2021.125,Venezuela,20A,GISAID
hCoV-19/Venezuela/Zul3098/2021.385/21H-Mu,2021.385,Venezuela,21H-Mu,GISAID
hCoV-19/Curacao/CW-RIVM-41646/2021.453/21H-Mu,2021.453,Curacao,21H-Mu,GISAID
