Isolate,Accession_number,Collection_time,Location,Global_clade,Source
A/Victoria/893/2011/2011.933/,EPI_ISL_118588,2011.933,Victoria,,GISAID
A/Victoria/714/2011/2011.815/,EPI_ISL_106862,2011.815,Victoria,,GISAID
A/Wisconsin/27/2011/2011.845/,EPI_ISL_99796,2011.845,Wisconsin,,GISAID
A/Victoria/865/2011/2011.719/,EPI_ISL_99764,2011.719,Victoria,,GISAID
A/Yopougon/GR1336/2011/2011.889/,EPI_ISL_103279,2011.889,Yopougon,,GISAID
A/Trieste/63/2011/2011.993/,EPI_ISL_104116,2011.993,Trieste,,GISAID
A/Victoria/469/2012/2012.682/,EPI_ISL_134473,2012.682,Victoria,,GISAID
A/Denmark/36/2012/2012.234/,EPI_ISL_122644,2012.234,Denmark,,GISAID
A/Yopougon/GR414/2012/2012.294/,EPI_ISL_132043,2012.294,Yopougon,,GISAID
A/Plateau/GR582/2012/2012.411/,EPI_ISL_132042,2012.411,Plateau,,GISAID
A/Thailand/CU-H3141/2012/2012.023/,EPI_ISL_205361,2012.023,Thailand,,GISAID
A/Utah/17/2012/2012.417/,EPI_ISL_122131,2012.417,Utah,,GISAID
A/Townsville/4/2012/2012.223/,EPI_ISL_172967,2012.223,Townsville,,GISAID
A/Yaounde/11V-19343/2011/2011.821/,EPI_ISL_107910,2011.821,Yaounde,,GISAID
A/Finland/275/2012/2012.143/,EPI_ISL_121465,2012.143,Finland,,GISAID
A/Nigeria/7762/2012/2012.775/,EPI_ISL_138684,2012.775,Nigeria,,GISAID
A/Tanzania/303/2012/2012.884/,EPI_ISL_134877,2012.884,Tanzania,,GISAID
A/Lebanon/11L007/2011/2011.588/,EPI_ISL_140701,2011.588,Lebanon,,GISAID
A/StPetersburg/RII25/2012/2012.146/,EPI_ISL_135908,2012.146,StPetersburg,,GISAID
A/Johannesburg/5903/2012/2012.504/,EPI_ISL_132037,2012.504,Johannesburg,,GISAID
A/Nigeria/5402/2012/2012.133/,EPI_ISL_138009,2012.133,Nigeria,,GISAID
A/Tehran/34891/2013/2013.505/,EPI_ISL_156584,2013.505,Tehran,,GISAID
A/Southaustralia/2/2013/2013.023/,EPI_ISL_288258,2013.023,Southaustralia,,GISAID
A/India/LKO875/2011/2011.577/,EPI_ISL_161350,2011.577,India,,GISAID
A/India/LKO983/2011/2011.648/,EPI_ISL_149951,2011.648,India,,GISAID
A/India/LKO1442/2012/2012.061/,EPI_ISL_149952,2012.061,India,,GISAID
A/India/LKO1501/2012/2012.122/,EPI_ISL_149953,2012.122,India,,GISAID
A/India/LKO3154/2012/2012.985/,EPI_ISL_161357,2012.985,India,,GISAID
A/Srilanka/24/2011/2011.916/,EPI_ISL_118582,2011.916,Srilanka,,GISAID
A/HongKong/3974/2011/2011.475/,EPI_ISL_96093,2011.475,HongKong,,GISAID
A/Bangladesh/1/2012/2012.542/,EPI_ISL_260561,2012.542,Bangladesh,,GISAID
A/Bangladesh/5071/2011/2011.379/,EPI_ISL_99071,2011.379,Bangladesh,,GISAID
A/Wellington/14/2011/2011.53/,EPI_ISL_99768,2011.53,Wellington,,GISAID
A/Wellington/9/2011/2011.489/,EPI_ISL_99743,2011.489,Wellington,,GISAID
A/Thailand/CU-B4730/2011/2011.41/,EPI_ISL_205401,2011.41,Thailand,,GISAID
A/Iceland/22/2012/2012.217/,EPI_ISL_122655,2012.217,Iceland,,GISAID
A/Santiago/3564/2012/2012.029/,EPI_ISL_119879,2012.029,Santiago,,GISAID
A/PuertoRico/3/2011/2011.648/,EPI_ISL_98824,2011.648,PuertoRico,,GISAID
A/Yamagata/92/2012/2012.1/,EPI_ISL_113368,2012.1,Yamagata,,GISAID
A/Wyoming/9/2011/2011.996/,EPI_ISL_102459,2011.996,Wyoming,,GISAID
A/Paris/84/2012/2012.029/,EPI_ISL_106773,2012.029,Paris,,GISAID
A/Tanzania/1314/2012/2012.064/,EPI_ISL_135840,2012.064,Tanzania,,GISAID
A/Turkey/9/2011/2011.952/,EPI_ISL_117488,2011.952,Turkey,,GISAID
A/Victoria/555/2011/2011.596/,EPI_ISL_99748,2011.596,Victoria,,GISAID
A/Peru/PER346/2011/2011.884/,EPI_ISL_152837,2011.884,Peru,,GISAID
A/Santiago/14696/2012/2012.165/,EPI_ISL_119711,2012.165,Santiago,,GISAID
A/Suriname/297/2012/2012.406/,EPI_ISL_127834,2012.406,Suriname,,GISAID
A/Tunisia/13092/2011/2011.719/,EPI_ISL_99879,2011.719,Tunisia,,GISAID
A/Jordan/20110030655/2011/2011.832/,EPI_ISL_107865,2011.832,Jordan,,GISAID
A/Tiznit/167/2011/2011.985/,EPI_ISL_103284,2011.985,Tiznit,,GISAID
A/Tsiroanomandidy/3540/2012/2012.425/,EPI_ISL_141687,2012.425,Tsiroanomandidy,,GISAID
A/NosyBe/429/2013/2013.114/,EPI_ISL_145531,2013.114,NosyBe,,GISAID
A/Vietnam/NT12-471/2012/2012.54/,EPI_ISL_151418,2012.54,Vietnam,,GISAID
A/Vietnam/13VH3-2/2012/2012.99/,EPI_ISL_173299,2012.99,Vietnam,,GISAID
A/Southauckland/7/2012/2012.452/,EPI_ISL_128654,2012.452,Southauckland,,GISAID
A/Tasmania/1/2012/2012.138/,EPI_ISL_121690,2012.138,Tasmania,,GISAID
A/Bangladesh/1621/2012/2012.734/,EPI_ISL_132113,2012.734,Bangladesh,,GISAID
A/India/7459/2011/2011.87/,EPI_ISL_105769,2011.87,India,,GISAID
A/Tokushima/10/2011/2011.873/,EPI_ISL_101349,2011.873,Tokushima,,GISAID
A/Oman/916/2011/2011.568/,EPI_ISL_98822,2011.568,Oman,,GISAID
A/HongKong/5063/2011/2011.966/,EPI_ISL_103755,2011.966,HongKong,,GISAID
A/Bangladesh/4/2012/2012.638/,EPI_ISL_260564,2012.638,Bangladesh,,GISAID
A/Yokohama/125/2012/2012.179/,EPI_ISL_121263,2012.179,Yokohama,,GISAID
A/Washington/17/2011/2011.703/,EPI_ISL_98648,2011.703,Washington,,GISAID
A/Texas/12/2011/2011.79/,EPI_ISL_99116,2011.79,Texas,,GISAID
A/England/565/2012/2012.414/,EPI_ISL_132008,2012.414,England,,GISAID
A/Uttarakhand/8853/2011/2011.451/3C,EPI_ISL_161475,2011.451,Uttarakhand,3C,GISAID
A/Thailand/CU-B7992/2013/2013.442/3C,EPI_ISL_205428,2013.442,Thailand,3C,GISAID
