Isolate,Accession_number,Collection_time,Location,Global_clade,Source
A/Kazakhstan/6975/2017/2017.032/3C.2a3,EPI_ISL_273632,2017.032,Kazakhstan,3C.2a3,GISAID
A/Tanzania/4390/2017/2017.292/3C.2a3,EPI_ISL_273620,2017.292,Tanzania,3C.2a3,GISAID
A/Tanzania/4357/2017/2017.237/3C.2a3,EPI_ISL_270211,2017.237,Tanzania,3C.2a3,GISAID
A/Venev/RII358S/2016/2016.908/3C.2a3,EPI_ISL_242611,2016.908,Venev,3C.2a3,GISAID
A/Volgograd/RII745S/2016/2016.824/3C.2a3,EPI_ISL_242646,2016.824,Volgograd,3C.2a3,GISAID
A/Iasi/3816/2016/2016.993/3C.2a3,EPI_ISL_264068,2016.993,Iasi,3C.2a3,GISAID
A/Moscow/46/2017/2017.144/3C.2a3,EPI_ISL_273656,2017.144,Moscow,3C.2a3,GISAID
A/Belarus/1151/2017/2017.051/3C.2a3,EPI_ISL_257358,2017.051,Belarus,3C.2a3,GISAID
A/California/179/2016/2016.922/3C.2a3,EPI_ISL_273709,2016.922,California,3C.2a3,GISAID
A/Vaparaiso/39896/2017/2017.39/3C.2a3,EPI_ISL_269752,2017.39,Vaparaiso,3C.2a3,GISAID
A/Maldives/158/2017/2017.144/3C.2a3,EPI_ISL_264441,2017.144,Maldives,3C.2a3,GISAID
A/Maldives/499/2017/2017.221/3C.2a3,EPI_ISL_264442,2017.221,Maldives,3C.2a3,GISAID
A/Tosno/RII718S/2016/2016.969/3C.2a3,EPI_ISL_242640,2016.969,Tosno,3C.2a3,GISAID
A/Wellington/5/2017/2017.41/3C.2a3,EPI_ISL_275279,2017.41,Wellington,3C.2a3,GISAID
A/Ohio/31/2017/2017.563/3C.2a3,EPI_ISL_275975,2017.563,Ohio,3C.2a3,GISAID
A/NewZealand/671/2017/2017.492/3C.2a3,EPI_ISL_275790,2017.492,NewZealand,3C.2a3,GISAID
A/Cameroon/4372/2018/2018.295/3C.2a3,EPI_ISL_330674,2018.295,Cameroon,3C.2a3,GISAID
A/Togo/1048/2017/2017.81/3C.2a3,EPI_ISL_299893,2017.81,Togo,3C.2a3,GISAID
A/Yokohama/112/2018/2018.842/3C.2a3,EPI_ISL_333926,2018.842,Yokohama,3C.2a3,GISAID
A/Mali/235/2018/2018.867/3C.2a3,EPI_ISL_355764,2018.867,Mali,3C.2a3,GISAID
A/Toulon/2533/2017/2017.963/3C.2a3,EPI_ISL_299068,2017.963,Toulon,3C.2a3,GISAID
A/Yunnan-Mengzi/1724/2017/2017.637/3C.2a3,EPI_ISL_285903,2017.637,Yunnan-Mengzi,3C.2a3,GISAID
A/Zhejiang-Shangcheng/1153/2018/2018.144/3C.2a3,EPI_ISL_330935,2018.144,Zhejiang-Shangcheng,3C.2a3,GISAID
A/HongKong/4994/2017/2017.963/3C.2a3,EPI_ISL_311640,2017.963,HongKong,3C.2a3,GISAID
A/Townsville/16/2017/2017.911/3C.2a3,EPI_ISL_312178,2017.911,Townsville,3C.2a3,GISAID
A/Choibalsan/3093/2017/2017.925/3C.2a3,EPI_ISL_305002,2017.925,Choibalsan,3C.2a3,GISAID
A/Congo/735/2018/2018.99/3C.2a3,EPI_ISL_349709,2018.99,Congo,3C.2a3,GISAID
A/Congo/319/2018/2018.41/3C.2a3,EPI_ISL_321915,2018.41,Congo,3C.2a3,GISAID
A/Congo/422/2018/2018.522/3C.2a3,EPI_ISL_329853,2018.522,Congo,3C.2a3,GISAID
A/HongKong/7127/2014/2014.574/3C.2a,EPI_ISL_168972,2014.574,HongKong,3C.2a,GISAID
A/Victoria/6006/2015/2015.053/3C.2a,EPI_ISL_17265010,2015.053,Victoria,3C.2a,GISAID
A/Toyama/107/2015/2015.368/3C.2a,EPI_ISL_193034,2015.368,Toyama,3C.2a,GISAID
A/Taiwan/596/2015/2015.297/3C.2a,EPI_ISL_193024,2015.297,Taiwan,3C.2a,GISAID
A/Guangdong/724/2015/2015.626/3C.2a,EPI_ISL_272712,2015.626,Guangdong,3C.2a,GISAID
A/Alaska/240/2015/2015.705/3C.2a,EPI_ISL_202892,2015.705,Alaska,3C.2a,GISAID
A/Montana/28/2015/2015.73/3C.2a,EPI_ISL_201303,2015.73,Montana,3C.2a,GISAID
A/Taiwan/805/2015/2015.426/3C.2a,EPI_ISL_193030,2015.426,Taiwan,3C.2a,GISAID
A/Valparaiso/50323/2015/2015.56/3C.2a,EPI_ISL_203267,2015.56,Valparaiso,3C.2a,GISAID
A/Valparaiso/42142/2015/2015.475/3C.2a,EPI_ISL_194979,2015.475,Valparaiso,3C.2a,GISAID
A/Guangdong/616/2015/2015.514/3C.2a,EPI_ISL_272710,2015.514,Guangdong,3C.2a,GISAID
A/Vietnam/95/2015/2015.478/3C.2a,EPI_ISL_215801,2015.478,Vietnam,3C.2a,GISAID
A/Vietnam/106/2015/2015.574/3C.2a,EPI_ISL_215650,2015.574,Vietnam,3C.2a,GISAID
A/Wakayama-C/105/2015/2015.623/3C.2a,EPI_ISL_201182,2015.623,Wakayama-C,3C.2a,GISAID
A/Tokyo/15347/2015/2015.771/3C.2a,EPI_ISL_208243,2015.771,Tokyo,3C.2a,GISAID
A/Washington/45/2015/2015.456/3C.2a,EPI_ISL_205631,2015.456,Washington,3C.2a,GISAID
A/Vietnam/GS150287/2015/2015.377/3C.2a,EPI_ISL_213026,2015.377,Vietnam,3C.2a,GISAID
A/Victoria/922/2015/2015.234/3C.2a,EPI_ISL_197878,2015.234,Victoria,3C.2a,GISAID
A/Wellington/1/2015/2015.092/3C.2a,EPI_ISL_197949,2015.092,Wellington,3C.2a,GISAID
A/Sydney/530/2014/2014.925/3C.2a,EPI_ISL_288133,2014.925,Sydney,3C.2a,GISAID
A/Wisconsin/66/2015/2015.303/3C.2a,EPI_ISL_191709,2015.303,Wisconsin,3C.2a,GISAID
A/Wyoming/20/2014/2014.938/3C.2a,EPI_ISL_172554,2014.938,Wyoming,3C.2a,GISAID
A/RioGrandeDoNorte/134696-IEC/2015/2015.267/3C.2a,EPI_ISL_200705,2015.267,RioGrandeDoNorte,3C.2a,GISAID
A/Austria/842664/2015/2015.149/3C.2a,EPI_ISL_175588,2015.149,Austria,3C.2a,GISAID
A/Victoria/455/2015/2015.955/3C.2a,EPI_ISL_287815,2015.955,Victoria,3C.2a,GISAID
A/Wyoming/19/2015/2015.84/3C.2a,EPI_ISL_202934,2015.84,Wyoming,3C.2a,GISAID
A/Washington/77/2015/2015.988/3C.2a,EPI_ISL_213032,2015.988,Washington,3C.2a,GISAID
A/Tunisia/12370/2015/2015.768/3C.2a,EPI_ISL_223664,2015.768,Tunisia,3C.2a,GISAID
A/SaudiArabia/78764/2015/2015.733/3C.2a,EPI_ISL_203042,2015.733,SaudiArabia,3C.2a,GISAID
A/SouthAfrica/6131/2015/2015.747/3C.2a,EPI_ISL_205283,2015.747,SouthAfrica,3C.2a,GISAID
A/Oman/5287/2015/2015.607/3C.2a,EPI_ISL_215867,2015.607,Oman,3C.2a,GISAID
A/Bangladesh/9015/2015/2015.659/3C.2a,EPI_ISL_201271,2015.659,Bangladesh,3C.2a,GISAID
A/Bangladesh/914007/2015/2015.716/3C.2a,EPI_ISL_219102,2015.716,Bangladesh,3C.2a,GISAID
A/Oman/5691/2015/2015.821/3C.2a,EPI_ISL_215871,2015.821,Oman,3C.2a,GISAID
A/Sydney/9/2016/2016.02/3C.2a,EPI_ISL_287816,2016.02,Sydney,3C.2a,GISAID
A/England/53860135/2015/2015.703/3C.2a,EPI_ISL_203371,2015.703,England,3C.2a,GISAID
A/Alaska/140/2015/2015.61/3C.2a,EPI_ISL_200995,2015.61,Alaska,3C.2a,GISAID
A/PassoFundo/LACENRS-1854/2015/2015.549/3C.2a,EPI_ISL_263376,2015.549,PassoFundo,3C.2a,GISAID
A/Finland/526/2015/2015.281/3C.2a,EPI_ISL_190910,2015.281,Finland,3C.2a,GISAID
A/SaoPaulo/3-32002/2015/2015.388/3C.2a,EPI_ISL_190645,2015.388,SaoPaulo,3C.2a,GISAID
A/Vietnam/GS150761/2015/2015.719/3C.2a,EPI_ISL_215802,2015.719,Vietnam,3C.2a,GISAID
A/Vietnam/GS151050/2015/2015.826/3C.2a,EPI_ISL_213028,2015.826,Vietnam,3C.2a,GISAID
A/Vietnam/6058/2016/2016.392/3C.2a,EPI_ISL_259151,2016.392,Vietnam,3C.2a,GISAID
A/Tokyo/16335/2016/2016.706/3C.2a,EPI_ISL_239609,2016.706,Tokyo,3C.2a,GISAID
A/Vietnam/6038/2016/2016.515/3C.2a,EPI_ISL_259154,2016.515,Vietnam,3C.2a,GISAID
A/Yunnan-Wenshan/1893/2015/2015.856/3C.2a,EPI_ISL_207621,2015.856,Yunnan-Wenshan,3C.2a,GISAID
A/Kazakhstan/53/2015/2015.897/3C.2a,EPI_ISL_207403,2015.897,Kazakhstan,3C.2a,GISAID
A/Singapore/TT1319/2015/2015.933/3C.2a,EPI_ISL_13046494,2015.933,Singapore,3C.2a,GISAID
A/Vietnam/157/2015/2015.582/3C.2a,EPI_ISL_215657,2015.582,Vietnam,3C.2a,GISAID
A/Yunnan-Linxiang/1718/2016/2016.439/3C.2a,EPI_ISL_230739,2016.439,Yunnan-Linxiang,3C.2a,GISAID
A/NewYork/78/2016/2016.318/3C.2a,EPI_ISL_226805,2016.318,NewYork,3C.2a,GISAID
A/Vietnam/172/2015/2015.848/3C.2a,EPI_ISL_212375,2015.848,Vietnam,3C.2a,GISAID
A/Xinjiang-Tianshan/1287/2016/2016.097/3C.2a,EPI_ISL_242574,2016.097,Xinjiang-Tianshan,3C.2a,GISAID
A/Bangladesh/5008/2015/2015.782/3C.2a,EPI_ISL_219105,2015.782,Bangladesh,3C.2a,GISAID
A/Portugal/SU439/2016/2016.081/3C.2a,EPI_ISL_231812,2016.081,Portugal,3C.2a,GISAID
A/SriLanka/63/2015/2016.086/3C.2a,EPI_ISL_239829,2016.086,SriLanka,3C.2a,GISAID
A/Italy-FVG/105/2015/2015.9/3C.2a,EPI_ISL_215856,2015.9,Italy-FVG,3C.2a,GISAID
A/Tsaralalana/2054/2016/2016.335/3C.2a,EPI_ISL_231822,2016.335,Tsaralalana,3C.2a,GISAID
A/Santiago/24151/2016/2016.277/3C.2a,EPI_ISL_231676,2016.277,Santiago,3C.2a,GISAID
A/Victoria/7/2016/2016.43/3C.2a,EPI_ISL_233277,2016.43,Victoria,3C.2a,GISAID
A/Kyiv/641/2016/2016.228/3C.2a,EPI_ISL_225045,2016.228,Kyiv,3C.2a,GISAID
A/Tajikistan/15/2016/2016.28/3C.2a,EPI_ISL_232875,2016.28,Tajikistan,3C.2a,GISAID
A/Kenya/23/2016/2016.78/3C.2a,EPI_ISL_261481,2016.78,Kenya,3C.2a,GISAID
A/Dnipro/767/2016/2016.346/3C.2a,EPI_ISL_225050,2016.346,Dnipro,3C.2a,GISAID
A/Dnipro/764/2016/2016.247/3C.2a,EPI_ISL_224535,2016.247,Dnipro,3C.2a,GISAID
A/Seoul/1595/2015/2015.692/3C.2a,EPI_ISL_253939,2015.692,Seoul,3C.2a,GISAID
A/Tianjin-Baodi/1165/2017/2017.163/3C.2a,EPI_ISL_270722,2017.163,Tianjin-Baodi,3C.2a,GISAID
A/Kawasaki/109/2016/2016.526/3C.2a2,EPI_ISL_236851,2016.526,Kawasaki,3C.2a2,GISAID
A/SakonNakhon/282/2017/2017.588/3C.2a2,EPI_ISL_277531,2017.588,SakonNakhon,3C.2a2,GISAID
A/Trang/51/2017/2017.39/3C.2a2,EPI_ISL_277538,2017.39,Trang,3C.2a2,GISAID
A/Trang/87/2017/2017.464/3C.2a2,EPI_ISL_277539,2017.464,Trang,3C.2a2,GISAID
A/Shandong-Zhifu/164/2017/2017.103/3C.2a2,EPI_ISL_279435,2017.103,Shandong-Zhifu,3C.2a2,GISAID
A/Washington/16/2017/2017.067/3C.2a2,EPI_ISL_275706,2017.067,Washington,3C.2a2,GISAID
A/London/17U056107-57_S9_L001/2017/2017.004/3C.2a2,EPI_ISL_274884,2017.004,London,3C.2a2,GISAID
A/Norway/4465/2016-egg/2016.851/3C.2a2,EPI_ISL_239788,2016.851,Norway,3C.2a2,GISAID
A/Norway/4861/2016/2016.911/3C.2a2,EPI_ISL_242807,2016.911,Norway,3C.2a2,GISAID
A/Brisbane/318/2016/2016.947/3C.2a2,EPI_ISL_249207,2016.947,Brisbane,3C.2a2,GISAID
A/Brisbane/321/2016/2016.966/3C.2a2,EPI_ISL_249201,2016.966,Brisbane,3C.2a2,GISAID
A/Victoria/1/2017/2017.193/3C.2a2,EPI_ISL_269376,2017.193,Victoria,3C.2a2,GISAID
A/Shimane/112/2017/2017.897/3C.2a2,EPI_ISL_304122,2017.897,Shimane,3C.2a2,GISAID
A/Zhejiang-Jiaojiang/1255/2017/2017.281/3C.2a2,EPI_ISL_278727,2017.281,Zhejiang-Jiaojiang,3C.2a2,GISAID
A/Lithuania/7906/2017/2017.177/3C.2a2,EPI_ISL_274555,2017.177,Lithuania,3C.2a2,GISAID
A/HongKong/247/2017/2017.021/3C.2a2,EPI_ISL_259138,2017.021,HongKong,3C.2a2,GISAID
A/Norway/995/2017/2017.119/3C.2a2,EPI_ISL_267746,2017.119,Norway,3C.2a2,GISAID
A/HongKong/2302/2016/2016.575/3C.2a2,EPI_ISL_259079,2016.575,HongKong,3C.2a2,GISAID
A/Luxembourg/17011309/2017/2017.16/3C.2a2,EPI_ISL_263020,2017.16,Luxembourg,3C.2a2,GISAID
A/Yokohama/131/2017/2017.286/3C.2a2,EPI_ISL_267067,2017.286,Yokohama,3C.2a2,GISAID
A/Yunnan-Xianggelila/1708/2017/2017.867/3C.2a2,EPI_ISL_334630,2017.867,Yunnan-Xianggelila,3C.2a2,GISAID
A/Yunnan-Xianggelila/1375/2017/2017.393/3C.2a2,EPI_ISL_278717,2017.393,Yunnan-Xianggelila,3C.2a2,GISAID
A/NorthCarolina/4/2017/2017.07/3C.2a2,EPI_ISL_250056,2017.07,NorthCarolina,3C.2a2,GISAID
A/Zambia/305/2017/2017.867/3C.2a2,EPI_ISL_294256,2017.867,Zambia,3C.2a2,GISAID
A/Nebraska/2/2017/2017.026/3C.2a2,EPI_ISL_248141,2017.026,Nebraska,3C.2a2,GISAID
A/Wisconsin/19/2017-egg/2017.062/3C.2a2,EPI_ISL_272944,2017.062,Wisconsin,3C.2a2,GISAID
A/Portugal/SU113/2017/2017.988/3C.2a2,EPI_ISL_297351,2017.988,Portugal,3C.2a2,GISAID
A/Peru/3817/2017/2017.933/3C.2a2,EPI_ISL_311632,2017.933,Peru,3C.2a2,GISAID
A/Denmark/98/2017/2017.968/3C.2a2,EPI_ISL_299027,2017.968,Denmark,3C.2a2,GISAID
A/Dnipro/416/2018/2018.311/3C.2a2,EPI_ISL_320352,2018.311,Dnipro,3C.2a2,GISAID
A/Tyumen/RII-2/2018/2018.442/3C.2a2,EPI_ISL_330889,2018.442,Tyumen,3C.2a2,GISAID
A/HongKong/675/2018/2018.273/3C.2a2,EPI_ISL_312269,2018.273,HongKong,3C.2a2,GISAID
A/Moscow/149/2018/2018.275/3C.2a2,EPI_ISL_320293,2018.275,Moscow,3C.2a2,GISAID
A/Suriname/2354/2017/2017.925/3C.2a2,EPI_ISL_296501,2017.925,Suriname,3C.2a2,GISAID
A/VinaDelMar/60406/2018/2018.555/3C.2a2,EPI_ISL_330249,2018.555,VinaDelMar,3C.2a2,GISAID
A/Townsville/1000/2018/2018.127/3C.2a2,EPI_ISL_314622,2018.127,Townsville,3C.2a2,GISAID
A/Bretagne/1413/2017/2017.771/3C.2a2,EPI_ISL_283128,2017.771,Bretagne,3C.2a2,GISAID
A/Bretagne/1565/2017-egg/2017.889/3C.2a2,EPI_ISL_319714,2017.889,Bretagne,3C.2a2,GISAID
A/PuertoRico/21/2018/2018.492/3C.2a2,EPI_ISL_330486,2018.492,PuertoRico,3C.2a2,GISAID
A/Netherlands/744/2018/2018.042/3C.2a2,EPI_ISL_309301,2018.042,Netherlands,3C.2a2,GISAID
A/Switzerland/8060/2017/2017.971/3C.2a2,EPI_ISL_294252,2017.971,Switzerland,3C.2a2,GISAID
A/Switzerland/8060/2017-egg/2017.971/3C.2a2,EPI_ISL_331821,2017.971,Switzerland,3C.2a2,GISAID
A/Brazil/8164/2017/2017.725/3C.2a2,EPI_ISL_303218,2017.725,Brazil,3C.2a2,GISAID
A/Uruguay/170/2017/2017.412/3C.2a2,EPI_ISL_275722,2017.412,Uruguay,3C.2a2,GISAID
A/MinasGerais/39/2018/2018.034/3C.2a2,EPI_ISL_309024,2018.034,MinasGerais,3C.2a2,GISAID
A/Brisbane/117/2018/2018.568/3C.2a2,EPI_ISL_322718,2018.568,Brisbane,3C.2a2,GISAID
A/Sydney/93/2018/2018.423/3C.2a2,EPI_ISL_322734,2018.423,Sydney,3C.2a2,GISAID
A/Swansea/5352/2017/2017.579/3C.2a2,EPI_ISL_302462,2017.579,Swansea,3C.2a2,GISAID
A/NewZealand/783/2017/2017.511/3C.2a2,EPI_ISL_275796,2017.511,NewZealand,3C.2a2,GISAID
A/NewMexico/14/2018/2018.147/3C.2a2,EPI_ISL_309018,2018.147,NewMexico,3C.2a2,GISAID
A/Iceland/8/2018/2018.01/3C.2a2,EPI_ISL_297334,2018.01,Iceland,3C.2a2,GISAID
A/PuntaArena/55840/2017/2017.547/3C.2a2,EPI_ISL_282011,2017.547,PuntaArena,3C.2a2,GISAID
A/PaysDeLoire/1621/2017/2017.911/3C.2a2,EPI_ISL_290107,2017.911,PaysDeLoire,3C.2a2,GISAID
A/Paraguay/9159/2018/2018.193/3C.2a2,EPI_ISL_330977,2018.193,Paraguay,3C.2a2,GISAID
A/Arizona/37/2018/2018.396/3C.2a2,EPI_ISL_320278,2018.396,Arizona,3C.2a2,GISAID
A/Wisconsin/335/2017/2017.851/3C.2a2,EPI_ISL_291681,2017.851,Wisconsin,3C.2a2,GISAID
A/Nnewfoundland/RV1805/2018/2018.097/3C.2a2,EPI_ISL_313510,2018.097,Nnewfoundland,3C.2a2,GISAID
A/Ross-on-Wye/7865/2018/2018.004/3C.2a2,EPI_ISL_313958,2018.004,Ross-on-Wye,3C.2a2,GISAID
A/Perugia/14/2018/2018.042/3C.2a2,EPI_ISL_316614,2018.042,Perugia,3C.2a2,GISAID
A/Miyazaki/72/2018/2018.5/3C.2a2,EPI_ISL_330084,2018.5,Miyazaki,3C.2a2,GISAID
A/Brisbane/1/2018-egg/2018.004/3C.2a2,EPI_ISL_309027,2018.004,Brisbane,3C.2a2,GISAID
A/Taiwan/80650/2018/2018.393/3C.2a2,EPI_ISL_331204,2018.393,Taiwan,3C.2a2,GISAID
A/Taiwan/81136/2018/2018.856/3C.2a2,EPI_ISL_344660,2018.856,Taiwan,3C.2a2,GISAID
A/Yokohama/80/2018/2018.251/3C.2a2,EPI_ISL_319631,2018.251,Yokohama,3C.2a2,GISAID
A/Peru/769818/2018/2018.807/3C.2a2,EPI_ISL_349901,2018.807,Peru,3C.2a2,GISAID
A/Rancagua/54068/2018/2018.486/3C.2a2,EPI_ISL_330284,2018.486,Rancagua,3C.2a2,GISAID
A/Bahrain/449/2018/2018.604/3C.2a2,EPI_ISL_330925,2018.604,Bahrain,3C.2a2,GISAID
A/Valdiva/100553/2018/2018.944/3C.2a2,EPI_ISL_351875,2018.944,Valdiva,3C.2a2,GISAID
A/Conception/32368/2018/2018.292/3C.2a2,EPI_ISL_315785,2018.292,Conception,3C.2a2,GISAID
A/Loei/1152/2018/2018.462/3C.2a2,EPI_ISL_331064,2018.462,Loei,3C.2a2,GISAID
A/Wakayama/62/2018/2018.086/3C.2a2,EPI_ISL_314314,2018.086,Wakayama,3C.2a2,GISAID
A/Sakha/2V/2018/2018.914/3C.2a2,EPI_ISL_332796,2018.914,Sakha,3C.2a2,GISAID
A/Yasothon/21/2019/2019.007/3C.2a2,EPI_ISL_390913,2019.007,Yasothon,3C.2a2,GISAID
A/AltoHospicio/37840/2018/2018.297/3C.2a2,EPI_ISL_319719,2018.297,AltoHospicio,3C.2a2,GISAID
A/Yokohama/100/2018/2018.738/3C.2a2,EPI_ISL_332409,2018.738,Yokohama,3C.2a2,GISAID
A/Estonia/113466/2018/2018.24/3C.2a2,EPI_ISL_320613,2018.24,Estonia,3C.2a2,GISAID
A/Townsville/10/2018/2018.412/3C.2a2,EPI_ISL_320402,2018.412,Townsville,3C.2a2,GISAID
A/SuratThani/83/2018/2018.251/3C.2a2,EPI_ISL_329807,2018.251,SuratThani,3C.2a2,GISAID
A/Yokohama/85/2018/2018.355/3C.2a2,EPI_ISL_319637,2018.355,Yokohama,3C.2a2,GISAID
A/Yokohama/68/2018/2018.204/3C.2a2,EPI_ISL_316105,2018.204,Yokohama,3C.2a2,GISAID
A/Brisbane/1/2018/2018.004/3C.2a2,EPI_ISL_299662,2018.004,Brisbane,3C.2a2,GISAID
A/Brisbane/36/2018/2018.226/3C.2a2,EPI_ISL_313812,2018.226,Brisbane,3C.2a2,GISAID
A/Philippines/464/2018/2018.344/3C.2a2,EPI_ISL_322958,2018.344,Philippines,3C.2a2,GISAID
A/Victoria/731/2018/2018.692/3C.2a2,EPI_ISL_331780,2018.692,Victoria,3C.2a2,GISAID
A/Victoria/901/2018/2018.642/3C.2a2,EPI_ISL_330732,2018.642,Victoria,3C.2a2,GISAID
A/Victoria/909/2018/2018.821/3C.2a2,EPI_ISL_332743,2018.821,Victoria,3C.2a2,GISAID
A/Yokohama/111/2018/2018.801/3C.2a2,EPI_ISL_333925,2018.801,Yokohama,3C.2a2,GISAID
A/Taiwan/81101/2018/2018.812/3C.2a2,EPI_ISL_348186,2018.812,Taiwan,3C.2a2,GISAID
A/Taiwan/80749/2018/2018.514/3C.2a2,EPI_ISL_322130,2018.514,Taiwan,3C.2a2,GISAID
A/HongKong/656/2018/2018.264/3C.2a2,EPI_ISL_312267,2018.264,HongKong,3C.2a2,GISAID
A/Wisconsin/4/2018/2018.004/3C.2a2,EPI_ISL_305059,2018.004,Wisconsin,3C.2a2,GISAID
A/Virginia/24/2018/2018.199/3C.2a2,EPI_ISL_320358,2018.199,Virginia,3C.2a2,GISAID
A/Sweden/41/2018/2018.212/3C.2a2,EPI_ISL_310256,2018.212,Sweden,3C.2a2,GISAID
A/St-Etienne/1913/2018/2018.703/3C.2a2,EPI_ISL_345742,2018.703,St-Etienne,3C.2a2,GISAID
A/Tochigi/18136/2018/2018.426/3C.2a2,EPI_ISL_330081,2018.426,Tochigi,3C.2a2,GISAID
A/Yamaguchi/28/2015/2015.933/3C.2a,EPI_ISL_208245,2015.933,Yamaguchi,3C.2a,GISAID
A/Brisbane/197/2015/2015.856/3C.2a,EPI_ISL_287813,2015.856,Brisbane,3C.2a,GISAID
A/Wakayama-C/103/2015/2015.489/3C.2a,EPI_ISL_201632,2015.489,Wakayama-C,3C.2a,GISAID
A/Bulgaria/696/2016/2016.143/3C.2a,EPI_ISL_218963,2016.143,Bulgaria,3C.2a,GISAID
A/Victoria/2015/2016/2016.204/3C.2a,EPI_ISL_233819,2016.204,Victoria,3C.2a,GISAID
A/HongKong/50/2016-egg/2015.996/3C.2a,EPI_ISL_244878,2015.996,HongKong,3C.2a,GISAID
A/Singapore/INFTT-16-0083/2016/2016.059/3C.2a,EPI_ISL_225910,2016.059,Singapore,3C.2a,GISAID
A/Yunnan-Qilin/1902/2015/2015.733/3C.2a,EPI_ISL_207870,2015.733,Yunnan-Qilin,3C.2a,GISAID
A/Alaska/232/2015-egg/2015.689/3C.2a,EPI_ISL_219064,2015.689,Alaska,3C.2a,GISAID
A/Taipei/20/2016/2016.012/3C.2a,EPI_ISL_253778,2016.012,Taipei,3C.2a,GISAID
A/SriLanka/61/2015/2015.911/3C.2a,EPI_ISL_222801,2015.911,SriLanka,3C.2a,GISAID
A/Talca/14380/2016/2016.16/3C.2a,EPI_ISL_225093,2016.16,Talca,3C.2a,GISAID
A/Yokohama/102/2015/2015.884/3C.2a,EPI_ISL_205814,2015.884,Yokohama,3C.2a,GISAID
A/Yokohama/81/2016/2016.116/3C.2a,EPI_ISL_218449,2016.116,Yokohama,3C.2a,GISAID
A/Yunnan-Zhaoyang/11110/2015/2015.941/3C.2a,EPI_ISL_207686,2015.941,Yunnan-Zhaoyang,3C.2a,GISAID
A/Colombia/1408/2016/2016.889/3C.2a,EPI_ISL_259117,2016.889,Colombia,3C.2a,GISAID
A/PuertoRico/9/2016/2016.526/3C.2a,EPI_ISL_238624,2016.526,PuertoRico,3C.2a,GISAID
A/Canberra/7/2016/2016.275/3C.2a,EPI_ISL_227639,2016.275,Canberra,3C.2a,GISAID
A/Vietnam/6021/2016/2016.327/3C.2a,EPI_ISL_259148,2016.327,Vietnam,3C.2a,GISAID
A/Victoria/825/2016/2016.693/3C.2a,EPI_ISL_239950,2016.693,Victoria,3C.2a,GISAID
A/Vietnam/6179/2016/2016.63/3C.2a,EPI_ISL_259161,2016.63,Vietnam,3C.2a,GISAID
A/Lao/F2884/2016/2016.717/3C.2a,EPI_ISL_239612,2016.717,Lao,3C.2a,GISAID
A/Sichuan-Jinjiang/8156/2016/2016.305/3C.2a,EPI_ISL_232950,2016.305,Sichuan-Jinjiang,3C.2a,GISAID
A/Macedonia/25/2016/2016.993/3C.2a,EPI_ISL_259175,2016.993,Macedonia,3C.2a,GISAID
A/Tochigi/16153/2016/2016.458/3C.2a,EPI_ISL_235042,2016.458,Tochigi,3C.2a,GISAID
A/Yozgat/14/2017/2016.004/3C.2a,EPI_ISL_267748,2016.004,Yozgat,3C.2a,GISAID
A/Bangladesh/5010/2016/2016.488/3C.2a,EPI_ISL_238625,2016.488,Bangladesh,3C.2a,GISAID
A/Poland/8C/2016/2016.958/3C.2a,EPI_ISL_273205,2016.958,Poland,3C.2a,GISAID
A/Dnipro/736/2016/2016.914/3C.2a,EPI_ISL_244908,2016.914,Dnipro,3C.2a,GISAID
A/Yokohama/200/2016/2016.974/3C.2a,EPI_ISL_253068,2016.974,Yokohama,3C.2a,GISAID
A/SantaCatarina/1909/2016/2016.988/3C.2a,EPI_ISL_274183,2016.988,SantaCatarina,3C.2a,GISAID
A/Singapore/TT1329/2016/2016.821/3C.2a,EPI_ISL_240782,2016.821,Singapore,3C.2a,GISAID
A/SaudiArabia/193825/2016/2016.72/3C.2a,EPI_ISL_239507,2016.72,SaudiArabia,3C.2a,GISAID
A/Alaska/232/2015/2015.689/3C.2a,EPI_ISL_224268,2015.689,Alaska,3C.2a,GISAID
A/Tunisia/2240/2017/2017.147/3C.2a,EPI_ISL_262289,2017.147,Tunisia,3C.2a,GISAID
A/Yokohama/120/2016/2016.28/3C.2a,EPI_ISL_222750,2016.28,Yokohama,3C.2a,GISAID
A/Wisconsin/87/2015/2015.826/3C.2a,EPI_ISL_202925,2015.826,Wisconsin,3C.2a,GISAID
A/Ontario/RV2414/2015/2015.864/3C.2a,EPI_ISL_215796,2015.864,Ontario,3C.2a,GISAID
A/Vrancea/206396/2017/2017.001/3C.2a,EPI_ISL_264080,2017.001,Vrancea,3C.2a,GISAID
A/Rennes/2912/2016/2016.783/3C.2a,EPI_ISL_239622,2016.783,Rennes,3C.2a,GISAID
A/Bangladesh/429/2016/2016.602/3C.2a,EPI_ISL_239163,2016.602,Bangladesh,3C.2a,GISAID
A/HongKong/2391/2016/2016.605/3C.2a,EPI_ISL_259077,2016.605,HongKong,3C.2a,GISAID
A/Taiwan/960/2016/2016.87/3C.2a,EPI_ISL_249947,2016.87,Taiwan,3C.2a,GISAID
A/Taiwan/794/2016/2016.69/3C.2a,EPI_ISL_248310,2016.69,Taiwan,3C.2a,GISAID
A/HongKong/1706/2016/2016.367/3C.2a,EPI_ISL_230311,2016.367,HongKong,3C.2a,GISAID
