Isolate,Accession_number,Collection_time,Country,Continent,Clade,Source
ERR067710,ERR067710,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137237,ERR137237,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234622,ERR234622,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067651,ERR067651,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067650,ERR067650,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133860,ERR133860,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234560,ERR234560,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234595,ERR234595,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133915,ERR133915,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108493,ERR108493,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144590,ERR144590,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067663,ERR067663,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137230,ERR137230,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067592,ERR067592,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133885,ERR133885,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067635,ERR067635,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067704,ERR067704,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133827,ERR133827,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133866,ERR133866,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108503,ERR108503,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137248,ERR137248,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
